month,number_of_vessels,gross_tonnage
2022-08-01,11357.965521160173,264736.625
2022-09-01,10893.417061386292,264736.625
2022-10-01,10812.170378056338,264736.625
2022-11-01,10709.847288788811,264736.625
2022-12-01,10846.280545773065,264736.625
2023-01-01,10710.936995775308,264736.625
2023-02-01,10623.296922456495,264736.625
2023-03-01,10996.350684096335,264736.625
2023-04-01,11132.746943650183,264736.625
2023-05-01,11337.630719750216,264736.625
2023-06-01,10798.998054751864,264736.625
2023-07-01,10583.382433622106,264736.625
2023-08-01,10479.593434316876,264736.625
2023-09-30,10982.238969,264736.625
2023-10-31,10998.687946,264736.625
2023-11-30,10855.306755,264736.625
2023-12-31,10762.520377,264736.625
2024-01-31,10854.839849,264736.625
2024-02-29,10940.500580,264736.625
2024-03-31,10913.100140,264736.625
2024-04-30,10837.443647,264736.625
2024-05-31,10851.665374,264736.625
2024-06-30,10674.876123,264736.625
2024-07-31,10673.745523,264736.625
2024-08-31,10738.670435,264736.625
2024-09-30,10861.547496,264736.625
2024-10-31,10675.812947,264736.625
2024-11-30,10712.506538,264736.625
2024-12-31,10869.507753,264736.625
2025-01-31,10939.911250,264736.625
2025-02-28,10626.543438,264736.625
2025-03-31,10602.469586,264736.625
2025-04-30,10564.212878,264736.625
2025-05-31,10845.938536,264736.625
2025-06-30,11010.408641,264736.625
2025-07-31,11197.189983,264736.625
2025-08-31,10916.521758,264736.625
2025-09-30,10557.624966,264736.625
2025-10-31,10683.085558,264736.625
2025-11-30,10604.028815,264736.625
2025-12-31,10792.804364,264736.625
2026-01-31,10892.058085,264736.625
2026-02-28,10892.596038,264736.625
2026-03-31,11008.938996,264736.625
2026-04-30,10891.933956,264736.625
2026-05-31,10959.881212,264736.625
2026-06-30,10642.559160,264736.625
2026-07-31,10929.702129,264736.625
2026-08-31,10821.821159,264736.625
2026-09-30,10829.623908,264736.625
2026-10-31,10803.636005,264736.625
2026-11-30,10739.900199,264736.625
2026-12-31,10460.275629,264736.625
2027-01-31,10319.839833,264736.625
2027-02-28,10885.335366,264736.625
2027-03-31,11279.168143,264736.625
2027-04-30,11422.448798,264736.625
2027-05-31,11317.841486,264736.625
2027-06-30,10639.441493,264736.625
2027-07-31,10623.074993,264736.625
2027-08-31,10458.943841,264736.625
2027-09-30,10958.557943,264736.625
2027-10-31,10982.128237,264736.625
2027-11-30,11063.714069,264736.625
2027-12-31,10920.632464,264736.625
2028-01-31,10567.142572,264736.625
2028-02-29,11086.214402,264736.625
2028-03-31,11247.958198,264736.625
2028-04-30,11250.915089,264736.625
2028-05-31,10552.195236,264736.625
2028-06-30,10835.874797,264736.625
2028-07-31,10644.922632,264736.625
2028-08-31,10818.332839,264736.625
2028-09-30,10727.588326,264736.625
2028-10-31,10516.052400,264736.625
2028-11-30,10685.203869,264736.625
2028-12-31,10649.532573,264736.625
2029-01-31,10315.084152,264736.625
2029-02-28,10648.790866,264736.625
2029-03-31,10872.644095,264736.625
2029-04-30,11166.309334,264736.625
2029-05-31,10799.382793,264736.625
2029-06-30,10950.915094,264736.625
2029-07-31,11157.334629,264736.625
2029-08-31,11157.890569,264736.625
2029-09-30,11437.236128,264736.625
2029-10-31,11589.489862,264736.625
2029-11-30,11941.209664,264736.625
2029-12-31,12312.069204,264736.625
2030-01-31,12478.861261,264736.625
2030-02-28,11007.022199,264736.625
2030-03-31,9111.404539,264736.625
2030-04-30,8965.739796,264736.625
2030-05-31,9648.675755,264736.625
2030-06-30,10160.100677,264736.625
2030-07-31,10233.302545,264736.625
2030-08-31,10747.457277,264736.625
2030-09-30,10720.691250,264736.625
2030-10-31,10735.278011,264736.625
2030-11-30,10477.593913,264736.625
2030-12-31,10643.695827,264736.625
2031-01-31,10970.320067,264736.625
2031-02-28,11041.902491,264736.625
2031-03-31,11309.093924,264736.625
2031-04-30,10977.686303,264736.625
2031-05-31,11206.538200,264736.625
2031-06-30,10897.414611,264736.625
2031-07-31,10923.405938,264736.625
2031-08-31,10646.084240,264736.625
2031-09-30,10453.214406,264736.625
2031-10-31,10550.911126,264736.625
2031-11-30,10265.616113,264736.625
2031-12-31,10124.255649,264736.625
2032-01-31,10152.578135,264736.625
2032-02-29,10214.088490,264736.625
2032-03-31,10883.970114,264736.625
2032-04-30,10858.777079,264736.625
2032-05-31,11252.700547,264736.625
2032-06-30,11387.913470,264736.625
2032-07-31,11357.965521,264736.625
2032-08-31,10893.417061,264736.625
2032-09-30,10812.170378,264736.625
2032-10-31,10709.847289,264736.625
2032-11-30,10846.280546,264736.625
2032-12-31,10710.936996,264736.625
2033-01-31,10623.296922,264736.625
2033-02-28,10996.350684,264736.625
2033-03-31,11132.746944,264736.625
2033-04-30,11337.630720,264736.625
2033-05-31,10798.998055,264736.625
2033-06-30,10583.382434,264736.625
2033-07-31,10479.593434,264736.625
